subj_group,subj,trial,trial_target,appearance,avg_known,known,length
train,8,34,peacock,first,0.3170731707317073,FALSE,7
train,8,38,peacock,second,0.3170731707317073,FALSE,4
train,9,12,peacock,first,0.3170731707317073,FALSE,15
train,9,18,peacock,second,0.3170731707317073,FALSE,5
train,11,5,peacock,first,0.3170731707317073,FALSE,7
train,11,23,peacock,second,0.3170731707317073,FALSE,5
train,12,18,peacock,first,0.3170731707317073,FALSE,8
train,12,20,peacock,second,0.3170731707317073,FALSE,10
train,14,25,peacock,first,0.3170731707317073,FALSE,3
train,14,31,peacock,second,0.3170731707317073,FALSE,4
train,15,34,peacock,first,0.3170731707317073,FALSE,4
train,15,38,peacock,second,0.3170731707317073,FALSE,3
train,17,5,peacock,first,0.3170731707317073,FALSE,33
train,17,25,peacock,second,0.3170731707317073,FALSE,8
train,18,13,peacock,first,0.3170731707317073,FALSE,10
train,18,31,peacock,second,0.3170731707317073,FALSE,5
train,20,16,peacock,first,0.3170731707317073,FALSE,3
train,20,20,peacock,second,0.3170731707317073,FALSE,6
test,21,15,peacock,first,0.3170731707317073,FALSE,9
test,21,25,peacock,second,0.3170731707317073,FALSE,11
test,22,6,peacock,first,0.3170731707317073,FALSE,5
test,22,14,peacock,second,0.3170731707317073,FALSE,4
test,23,7,peacock,first,0.3170731707317073,FALSE,13
test,23,25,peacock,second,0.3170731707317073,FALSE,28
test,24,23,peacock,first,0.3170731707317073,FALSE,13
test,24,35,peacock,second,0.3170731707317073,FALSE,11
test,26,9,peacock,first,0.3170731707317073,FALSE,5
test,26,31,peacock,second,0.3170731707317073,FALSE,1
test,27,19,peacock,first,0.3170731707317073,FALSE,9
test,27,27,peacock,second,0.3170731707317073,FALSE,3
test,29,38,peacock,second,0.3170731707317073,FALSE,1
test,31,10,peacock,first,0.3170731707317073,FALSE,3
test,31,20,peacock,second,0.3170731707317073,FALSE,6
test,32,7,peacock,first,0.3170731707317073,FALSE,5
test,32,9,peacock,second,0.3170731707317073,FALSE,6
test,33,29,peacock,first,0.3170731707317073,FALSE,15
test,33,39,peacock,second,0.3170731707317073,FALSE,8
test,35,8,peacock,first,0.3170731707317073,FALSE,6
test,35,22,peacock,second,0.3170731707317073,FALSE,3
test,36,26,peacock,first,0.3170731707317073,FALSE,21
test,36,34,peacock,second,0.3170731707317073,FALSE,6
test,37,7,peacock,first,0.3170731707317073,FALSE,5
test,37,27,peacock,second,0.3170731707317073,FALSE,7
test,41,5,peacock,first,0.3170731707317073,FALSE,9
test,41,27,peacock,second,0.3170731707317073,FALSE,6
train,5,7,peacock,first,0.3170731707317073,TRUE,5
train,5,11,peacock,second,0.3170731707317073,TRUE,2
train,7,11,peacock,first,0.3170731707317073,TRUE,5
train,7,27,peacock,second,0.3170731707317073,TRUE,62
train,10,25,peacock,first,0.3170731707317073,TRUE,4
train,10,31,peacock,second,0.3170731707317073,TRUE,4
train,13,33,peacock,first,0.3170731707317073,TRUE,11
train,13,37,peacock,second,0.3170731707317073,TRUE,4
train,16,31,peacock,first,0.3170731707317073,TRUE,6
train,16,37,peacock,second,0.3170731707317073,TRUE,9
train,19,12,peacock,first,0.3170731707317073,TRUE,7
train,19,36,peacock,second,0.3170731707317073,TRUE,11
test,25,32,peacock,first,0.3170731707317073,TRUE,10
test,25,34,peacock,second,0.3170731707317073,TRUE,5
test,28,13,peacock,first,0.3170731707317073,TRUE,4
test,28,15,peacock,second,0.3170731707317073,TRUE,12
test,30,26,peacock,first,0.3170731707317073,TRUE,6
test,30,28,peacock,second,0.3170731707317073,TRUE,5
test,34,8,peacock,first,0.3170731707317073,TRUE,10
test,34,16,peacock,second,0.3170731707317073,TRUE,5
test,38,6,peacock,first,0.3170731707317073,TRUE,7
test,39,6,peacock,first,0.3170731707317073,TRUE,6
test,39,30,peacock,second,0.3170731707317073,TRUE,6
test,40,5,peacock,first,0.3170731707317073,TRUE,9
test,40,21,peacock,second,0.3170731707317073,TRUE,2
train,1,16,donkey,first,0.34146341463414637,FALSE,11
train,1,36,donkey,second,0.34146341463414637,FALSE,8
train,2,5,donkey,first,0.34146341463414637,FALSE,14
train,2,31,donkey,second,0.34146341463414637,FALSE,17
train,3,9,donkey,first,0.34146341463414637,FALSE,3
train,3,27,donkey,second,0.34146341463414637,FALSE,3
train,5,29,donkey,first,0.34146341463414637,FALSE,1
train,5,37,donkey,second,0.34146341463414637,FALSE,9
train,6,26,donkey,first,0.34146341463414637,FALSE,9
train,6,28,donkey,second,0.34146341463414637,FALSE,31
train,8,28,donkey,first,0.34146341463414637,FALSE,12
train,8,30,donkey,second,0.34146341463414637,FALSE,10
train,10,7,donkey,first,0.34146341463414637,FALSE,7
train,10,35,donkey,second,0.34146341463414637,FALSE,5
train,11,27,donkey,first,0.34146341463414637,FALSE,5
train,11,29,donkey,second,0.34146341463414637,FALSE,3
train,12,12,donkey,first,0.34146341463414637,FALSE,3
train,12,38,donkey,second,0.34146341463414637,FALSE,8
train,13,17,donkey,first,0.34146341463414637,FALSE,8
train,13,39,donkey,second,0.34146341463414637,FALSE,1
train,14,13,donkey,first,0.34146341463414637,FALSE,6
train,14,15,donkey,second,0.34146341463414637,FALSE,3
train,15,16,donkey,first,0.34146341463414637,FALSE,3
train,15,24,donkey,second,0.34146341463414637,FALSE,3
train,17,33,donkey,first,0.34146341463414637,FALSE,6
train,17,39,donkey,second,0.34146341463414637,FALSE,10
train,18,15,donkey,first,0.34146341463414637,FALSE,6
train,18,25,donkey,second,0.34146341463414637,FALSE,5
train,20,24,donkey,first,0.34146341463414637,FALSE,21
train,20,40,donkey,second,0.34146341463414637,FALSE,3
test,21,23,donkey,first,0.34146341463414637,FALSE,9
test,21,29,donkey,second,0.34146341463414637,FALSE,5
test,23,21,donkey,first,0.34146341463414637,FALSE,9
test,23,31,donkey,second,0.34146341463414637,FALSE,29
test,24,15,donkey,first,0.34146341463414637,FALSE,18
test,24,39,donkey,second,0.34146341463414637,FALSE,16
test,27,9,donkey,first,0.34146341463414637,FALSE,3
test,27,33,donkey,second,0.34146341463414637,FALSE,6
test,28,25,donkey,first,0.34146341463414637,FALSE,8
test,28,37,donkey,second,0.34146341463414637,FALSE,11
test,29,18,donkey,first,0.34146341463414637,FALSE,15
test,29,32,donkey,second,0.34146341463414637,FALSE,6
test,31,22,donkey,first,0.34146341463414637,FALSE,6
test,31,40,donkey,second,0.34146341463414637,FALSE,3
test,32,17,donkey,first,0.34146341463414637,FALSE,4
test,32,37,donkey,second,0.34146341463414637,FALSE,6
test,36,38,donkey,first,0.34146341463414637,FALSE,15
test,36,40,donkey,second,0.34146341463414637,FALSE,4
test,37,19,donkey,first,0.34146341463414637,FALSE,8
test,37,33,donkey,second,0.34146341463414637,FALSE,31
test,39,20,donkey,first,0.34146341463414637,FALSE,10
test,39,34,donkey,second,0.34146341463414637,FALSE,6
test,41,7,donkey,first,0.34146341463414637,FALSE,6
test,41,33,donkey,second,0.34146341463414637,FALSE,2
train,4,6,donkey,first,0.34146341463414637,TRUE,4
train,4,14,donkey,second,0.34146341463414637,TRUE,4
train,7,25,donkey,first,0.34146341463414637,TRUE,38
train,7,31,donkey,second,0.34146341463414637,TRUE,3
train,9,20,donkey,first,0.34146341463414637,TRUE,13
train,9,34,donkey,second,0.34146341463414637,TRUE,21
train,16,27,donkey,first,0.34146341463414637,TRUE,6
train,16,39,donkey,second,0.34146341463414637,TRUE,5
train,19,38,donkey,first,0.34146341463414637,TRUE,9
train,19,40,donkey,second,0.34146341463414637,TRUE,9
test,22,38,donkey,first,0.34146341463414637,TRUE,4
test,22,40,donkey,second,0.34146341463414637,TRUE,10
test,25,10,donkey,first,0.34146341463414637,TRUE,4
test,25,16,donkey,second,0.34146341463414637,TRUE,4
test,26,17,donkey,first,0.34146341463414637,TRUE,8
test,26,27,donkey,second,0.34146341463414637,TRUE,4
test,30,6,donkey,first,0.34146341463414637,TRUE,9
test,30,14,donkey,second,0.34146341463414637,TRUE,9
test,33,9,donkey,first,0.34146341463414637,TRUE,6
test,33,11,donkey,second,0.34146341463414637,TRUE,4
test,34,22,donkey,first,0.34146341463414637,TRUE,6
test,34,36,donkey,second,0.34146341463414637,TRUE,1
test,35,16,donkey,first,0.34146341463414637,TRUE,3
test,35,40,donkey,second,0.34146341463414637,TRUE,3
test,38,26,donkey,first,0.34146341463414637,TRUE,9
test,38,36,donkey,second,0.34146341463414637,TRUE,3
test,40,17,donkey,first,0.34146341463414637,TRUE,6
test,40,33,donkey,second,0.34146341463414637,TRUE,2
train,1,38,raccoon,first,0.3902439024390244,FALSE,3
train,1,40,raccoon,second,0.3902439024390244,FALSE,8
train,2,11,raccoon,first,0.3902439024390244,FALSE,6
train,2,15,raccoon,second,0.3902439024390244,FALSE,8
train,3,21,raccoon,first,0.3902439024390244,FALSE,3
train,3,33,raccoon,second,0.3902439024390244,FALSE,3
train,6,16,raccoon,first,0.3902439024390244,FALSE,12
train,6,36,raccoon,second,0.3902439024390244,FALSE,12
train,8,12,raccoon,first,0.3902439024390244,FALSE,5
train,8,24,raccoon,second,0.3902439024390244,FALSE,9
train,12,28,raccoon,first,0.3902439024390244,FALSE,3
train,12,34,raccoon,second,0.3902439024390244,FALSE,2
train,13,21,raccoon,first,0.3902439024390244,FALSE,7
train,13,29,raccoon,second,0.3902439024390244,FALSE,14
train,14,17,raccoon,first,0.3902439024390244,FALSE,14
train,14,23,raccoon,second,0.3902439024390244,FALSE,4
